MaNganh,TenVSIC
20132,Sản xuất cao su tổng hợp dạng nguyên sinh
20210,Sản xuất thuốc trừ sâu và sản phẩm hoá chất khác dùng trong nông nghiệp
20221,"Sản xuất sơn, véc ni và các chất sơn, quét tương tự, ma tít"
20222,"Sản xuất mực in "
20231,Sản xuất mỹ phẩm
20232,"Sản xuất xà phòng, chất tẩy rửa, làm bóng và chế phẩm vệ sinh, "
20290,Sản xuất sản phẩm hoá chất khác chưa được phân vào đâu
20300,Sản xuất sợi nhân tạo
21001,Sản xuất thuốc các loại
21002,Sản xuất hoá dược và dược liệu
22110,"Sản xuất săm, lốp cao su; đắp và tái chế lốp cao su"
22190,Sản xuất sản phẩm khác từ cao su
22201,Sản xuất bao bì từ plastic
22209,Sản xuất sản phẩm khác từ plastic
23101,Sản xuất thủy tinh phẳng và sản phẩm từ thủy tinh phẳng
23102,Sản xuất thủy tinh rỗng và sản phẩm từ thủy tinh rỗng
23103,"Sản xuất sợi thủy tinh và sản phẩm từ sợi thủy tinh "
23109,Sản xuất thủy tinh khác và các sản phẩm từ thủy tinh
23910,Sản xuất sản phẩm chịu lửa
23920,Sản xuất vật liệu xây dựng từ đất sét
23930,Sản xuất sản phẩm gốm sứ khác
23941,Sản xuất xi măng
23942,"Sản xuất vôi "
23943,Sản xuất thạch cao
23950,"Sản xuất bê tông và các sản phẩm từ bê tông, xi măng , và thạch cao, "
23960,Cắt tạo dáng và hoàn thiện đá
23990,"Sản xuất sản phẩm từ chất khoáng phi kim loại khác , chưa được phân vào đâu, "
24100,"Sản xuất sắt, thép, gang"
24201,Sản xuất kim loại quý
24202,Sản xuất kim loại màu
24310,"Đúc sắt, thép"
24320,Đúc kim loại màu
25110,"Sản xuất các cấu kiện kim loại "
25120,"Sản xuất thùng, bể chứa và dụng cụ chứa đựng bằng kim loại"
25130,Sản xuất nồi hơi (trừ nồi hơi trung tâm)
25200,Sản xuất vũ khí và đạn dược
25910,"Rèn, dập, ép và cán kim loại; luyện bột kim loại"
25920,Gia công cơ khí; xử lý và tráng phủ kim loại
25930,"Sản xuất dao kéo, dụng cụ cầm tay và đồ kim loại thông dụng"
25991,"Sản xuất đồ dùng bằng kim loại cho nhà bếp, nhà vệ sinh và nhà ăn"
25999,Sản xuất sản phẩm khác còn lại bằng kim loại chưa được phân vào đâu
26100,Sản xuất linh kiện điện tử
26200,Sản xuất máy vi tính và thiết bị ngoại vi của máy vi tính
26300,Sản xuất thiết bị truyền thông
26400,Sản xuất sản phẩm điện tử dân dụng
26510,"Sản xuất thiết bị đo lường, kiểm tra, định hướng , và điều khiển, "
26520,Sản xuất đồng hồ
26600,"Sản xuất thiết bị bức xạ, thiết bị điện tử trong y học, , điện liệu pháp, "
26700,Sản xuất thiết bị và dụng cụ quang học
26800,"Sản xuất băng, đĩa từ tính và quang học"
27101,"Sản xuất mô tơ, máy phát"
27102,"Sản xuất biến thế điện, thiết bị phân phối và điều khiển điện"
27200,Sản xuất pin và ắc quy
27310,"Sản xuất dây cáp, sợi cáp quang học"
27320,"Sản xuất dây, cáp điện và điện tử khác"
27330,Sản xuất thiết bị dây dẫn điện các loại
27400,Sản xuất thiết bị điện chiếu sáng
27500,Sản xuất đồ điện dân dụng
27900,Sản xuất thiết bị điện khác
28110,"Sản xuất động cơ, tua bin (trừ động cơ máy bay, ô tô, mô tô và xe máy)"
28120,"Sản xuất thiết bị sử dụng năng lượng chiết lưu "
28130,"Sản xuất máy bơm, máy nén, vòi và van khác"
28140,"Sản xuất bi, bánh răng, hộp số, các bộ phận điều khiển và truyền chuyển động"
28150,"Sản xuất lò nướng, lò luyện và lò nung"
28160,"Sản xuất các thiết bị nâng, hạ và bốc xếp"
28170,Sản xuất máy móc và thiết bị văn phòng (trừ máy vi tính và thiết bị ngoại vi của máy vi tính)
28180,"Sản xuất dụng cụ cầm tay chạy bằng mô tơ hoặc khí nén "
28190,Sản xuất máy thông dụng khác
28210,Sản xuất máy nông nghiệp và lâm nghiệp
28220,Sản xuất máy công cụ và máy tạo hình kim loại
28230,Sản xuất máy luyện kim
28240,Sản xuất máy khai thác mỏ và xây dựng
28250,"Sản xuất máy chế biến thực phẩm, đồ uống và thuốc lá"
28260,"Sản xuất máy cho ngành dệt, may và da"
28291,Sản xuất máy sản xuất vật liệu xây dựng
28299,Sản xuất máy chuyên dụng khác chưa được phân vào đâu
29100,Sản xuất ô tô và xe có động cơ khác
29200,"Sản xuất thân xe ô tô và xe có động cơ khác, rơ moóc và bán rơ moóc"
29300,"Sản xuất phụ tùng và bộ phận phụ trợ cho xe ô tô và xe có động cơ khác, "
30110,Đóng tàu và cấu kiện nổi
30120,"Đóng thuyền, xuồng thể thao và giải trí"
30200,"Sản xuất đầu máy xe lửa, xe điện và toa xe"
30300,"Sản xuất máy bay, tàu vũ trụ và máy móc liên quan"
30400,Sản xuất xe cơ giới chiến đấu dùng trong quân đội
30910,"Sản xuất mô tô, xe máy"
30920,Sản xuất xe đạp và xe cho người khuyết tật
30990,Sản xuất phương tiện và thiết bị vận tải khác chưa được phân vào đâu
31001,"Sản xuất giường, tủ, bàn, ghế bằng gỗ"
31002,"Sản xuất giường, tủ, bàn, ghế bằng kim loại"
31009,"Sản xuất giường, tủ, bàn, ghế bằng vật liệu khác"
32110,Sản xuất đồ kim hoàn và chi tiết liên quan
32120,Sản xuất đồ giả kim hoàn và chi tiết liên quan
32200,"Sản xuất nhạc cụ "
32300,"Sản xuất dụng cụ thể dục, thể thao"
32400,"Sản xuất đồ chơi, trò chơi"
32501,"Sản xuất thiết bị, dụng cụ y tế, nha khoa"
32502,"Sản xuất dụng cụ chỉnh hình, phục hồi chức năng"
32900,Sản xuất khác chưa được phân vào đâu
33110,Sửa chữa các sản phẩm kim loại đúc sẵn
33120,"Sửa chữa máy móc, thiết bị"
33130,Sửa chữa thiết bị điện tử và quang học
33140,Sửa chữa thiết bị điện
33150,"Sửa chữa và bảo dưỡng phương tiện vận tải (trừ ô tô, mô tô, xe máy và xe có động cơ khác)"
33190,Sửa chữa thiết bị khác
33200,Lắp đặt máy móc và thiết bị công nghiệp
35111,Thủy điện
35112,Nhiệt điện than
35113,Nhiệt điện khí
35114,Điện hạt nhân
35115,Điện gió
35116,Điện mặt trời
35119,Điện khác
35121,Truyền tải điện
35122,Phân phối điện
35201,"Sản xuất khí đốt "
35202,Phân phối nhiên liệu khí bằng đường ống
35301,"Sản xuất, phân phối hơi nước, nước nóng và điều hoà , không khí, "
35302,Sản xuất nước đá
36000,"Khai thác, xử lý và cung cấp nước"
37001,"Thoát nước "
37002,Xử lý nước thải
38110,Thu gom rác thải không độc hại
38121,Thu gom rác thải y tế
38129,Thu gom rác thải độc hại khác
38210,Xử lý và tiêu huỷ rác thải không độc hại
38221,Xử lý và tiêu huỷ rác thải y tế
38229,Xử lý và tiêu huỷ rác thải độc hại khác
38301,Tái chế phế liệu kim loại
38302,Tái chế phế liệu phi kim loại
39000,Xử lý ô nhiễm và hoạt động quản lý chất thải khác
41010,"Xây dựng nhà để ở "
41020,Xây dựng nhà không để ở
42110,"Xây dựng công trình đường sắt "
42120,"Xây dựng công trình đường bộ "
42210,Xây dựng công trình điện
42220,"Xây dựng công trình cấp, thoát nước"
42230,"Xây dựng công trình viễn thông, thông tin liên lạc"
42290,Xây dựng công trình công ích khác
42910,Xây dựng công trình thủy
42920,Xây dựng công trình khai khoáng
42930,"Xây dựng công trình chế biến, chế tạo"
42990,Xây dựng công trình kỹ thuật dân dụng khác
43110,Phá dỡ
43120,Chuẩn bị mặt bằng
43210,Lắp đặt hệ thống điện
43221,"Lắp đặt hệ thống cấp, thoát nước"
43222,Lắp đặt hệ thống sưởi và điều hoà không khí
43290,Lắp đặt hệ thống xây dựng khác
43300,Hoàn thiện công trình xây dựng
43900,Hoạt động xây dựng chuyên dụng khác
45111,Bán buôn ô tô con (loại 9 chỗ ngồi trở xuống)
45119,Bán buôn xe có động cơ khác
45120,Bán lẻ ô tô con (loại 9 chỗ ngồi trở xuống)
45131,Đại lý ô tô con (loại 9 chỗ ngồi trở xuống)
45139,Đại lý xe có động cơ khác
45200,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác"
45301,"Bán buôn phụ tùng và các bộ phận phụ trợ của ô tô , và xe có động cơ khác, "
45302,"Bán lẻ phụ tùng và các bộ phận phụ trợ của ô tô con , (loại 9 chỗ ngồi trở xuống), "
45303,"Đại lý phụ tùng và các bộ phận phụ trợ của ô tô và , xe có động cơ khác, "
45411,"Bán buôn mô tô, xe máy"
45412,"Bán lẻ mô tô, xe máy"
45413,"Đại lý mô tô, xe máy"
45420,"Bảo dưỡng và sửa chữa mô tô, xe máy"
45431,"Bán buôn phụ tùng và các bộ phận phụ trợ của mô tô, xe máy"
45432,"Bán lẻ phụ tùng và các bộ phận phụ trợ của mô tô, xe máy"
45433,"Đại lý phụ tùng và các bộ phận phụ trợ của mô tô, xe máy"
46101,Đại lý bán hàng hóa
46102,Môi giới mua bán hàng hóa
46103,Đấu giá hàng hóa
46201,"Bán buôn thóc, ngô và các loại hạt ngũ cốc khác "
46202,"Bán buôn hoa và cây "
46203,Bán buôn động vật sống
46204,"Bán buôn thức ăn và nguyên liệu làm thức ăn cho gia súc, gia cầm và thuỷ sản, "
46209,"Bán buôn nông, lâm sản, nguyên liệu khác (trừ gỗ, tre, nứa)"
46310,"Bán buôn gạo, lúa mỳ, hạt ngũ cốc khác, bột mỳ"
46321,Bán buôn thịt và các sản phẩm từ thịt
46322,Bán buôn thủy sản
46323,"Bán buôn rau, quả "
46324,Bán buôn cà phê
46325,Bán buôn chè
46326,"Bán buôn đường, sữa và các sản phẩm sữa, bánh kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột, "
46329,Bán buôn thực phẩm khác
46331,Bán buôn đồ uống có cồn
46332,Bán buôn đồ uống không có cồn
46340,"Bán buôn sản phẩm thuốc lá, thuốc lào "
46411,Bán buôn vải
46412,"Bán buôn thảm, đệm, chăn, màn, rèm, ga trải giường, gối và hàng dệt khác, "
46413,Bán buôn hàng may mặc
46414,"Bán buôn giày, dép"
46491,"Bán buôn vali, cặp, túi, ví, hàng da và giả da khác"
46492,Bán buôn dược phẩm và dụng cụ y tế
46493,"Bán buôn nước hoa, hàng mỹ phẩm và chế phẩm vệ sinh"
46494,"Bán buôn hàng gốm, sứ, thủy tinh"
46495,"Bán buôn đồ điện gia dụng, đèn và bộ đèn điện"
46496,"Bán buôn giường, tủ, bàn ghế và đồ dùng nội thất tương tự"
46497,"Bán buôn sách, báo, tạp chí, văn phòng phẩm"
46498,"Bán buôn dụng cụ thể dục, thể thao"
46499,Bán buôn đồ dùng khác cho gia đình chưa được phân vào đâu
46510,"Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm"
46520,"Bán buôn thiết bị và linh kiện điện tử, viễn thông"
46530,"Bán buôn máy móc, thiết bị và phụ tùng máy,  nông nghiệp "
46591,"Bán buôn máy móc, thiết bị và phụ tùng máy,  khai khoáng, xây dựng"
46592,"Bán buôn máy móc, thiết bị điện, vật liệu điện,  (máy phát điện, động cơ điện, dây điện và thiết bị khác dùng trong mạch điện)"
46593,"Bán buôn máy móc, thiết bị và phụ tùng máy , dệt, may, da giày"
46594,"Bán buôn máy móc, thiết bị và phụ tùng máy văn phòng (trừ máy vi tính và thiết bị ngoại vi), "
46595,"Bán buôn máy móc, thiết bị y tế"
46599,"Bán buôn máy móc, thiết bị và phụ tùng máy khác , chưa được phân vào đâu"
46611,Bán buôn than đá và nhiên liệu rắn khác
46612,Bán buôn dầu thô
46613,Bán buôn xăng dầu và các sản phẩm liên quan
46614,Bán buôn khí đốt và các sản phẩm liên quan
46621,Bán buôn quặng kim loại
46622,"Bán buôn sắt, thép"
46623,Bán buôn kim loại khác
46624,"Bán buôn vàng, bạc và kim loại quý khác"
46631,"Bán buôn tre, nứa, gỗ cây và gỗ chế biến"
46632,Bán buôn xi măng
46633,"Bán buôn gạch xây, ngói, đá, cát, sỏi"
46634,Bán buôn kính xây dựng
46635,"Bán buôn sơn, véc ni"
46636,Bán buôn gạch ốp lát và thiết bị vệ sinh
46637,Bán buôn đồ ngũ kim
46639,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng"
46691,"Bán buôn phân bón, thuốc trừ sâu và hóa chất khác , sử dụng trong nông nghiệp"
46692,Bán buôn hóa chất khác (trừ loại sử dụng trong nông nghiệp)
46693,Bán buôn chất dẻo dạng nguyên sinh
46694,Bán buôn cao su
46695,"Bán buôn tơ, xơ, sợi dệt"
46696,"Bán buôn phụ liệu may mặc và giày, dép"
46697,"Bán buôn phế liệu, phế thải kim loại, phi kim loại"
46699,"Bán buôn chuyên doanh khác còn lại chưa được,  phân vào đâu"
46900,"Bán buôn tổng hợp "
47111,Bán lẻ trong siêu thị
47112,Bán lẻ trong cửa hàng tiện lợi
47119,Bán lẻ trong cửa hàng kinh doanh tổng hợp khác
47191,Bán lẻ trong siêu thị (Supermarket)
47192,Bán lẻ trong cửa hàng tiện lợi (Minimarket)
47199,Bán lẻ trong cửa hàng kinh doanh tổng hợp khác
47210,Bán lẻ lương thực trong các cửa hàng chuyên doanh
47221,Bán lẻ thịt và các sản phẩm thịt trong các cửa hàng chuyên doanh
47222,Bán lẻ thủy sản trong các cửa hàng chuyên doanh
47223,"Bán lẻ rau, quả trong các cửa hàng chuyên doanh"
47224,"Bán lẻ đường, sữa và các sản phẩm sữa, bánh, mứt, kẹo và các sản phẩm chế biến từ ngũ cốc, bột, tinh bột trong các cửa hàng chuyên doanh"
47229,Bán lẻ thực phẩm khác trong các cửa hàng chuyên doanh
47230,Bán lẻ đồ uống trong các cửa hàng chuyên doanh
47240,"Bán lẻ sản phẩm thuốc lá, thuốc lào trong các cửa hàng chuyên doanh"
47300,Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh
47411,"Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm trong các cửa hàng chuyên doanh"
47412,Bán lẻ thiết bị viễn thông trong các cửa hàng chuyên doanh
47420,Bán lẻ thiết bị nghe nhìn trong các cửa hàng chuyên doanh
47511,Bán lẻ vải trong các cửa hàng chuyên doanh
47519,"Bán lẻ len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh"
47521,Bán lẻ đồ ngũ kim trong các cửa hàng chuyên doanh
47522,"Bán lẻ sơn, màu, véc ni trong các cửa hàng chuyên doanh"
47523,Bán lẻ kính xây dựng trong các cửa hàng chuyên doanh
47524,"Bán lẻ xi măng, gạch xây, ngói, đá, cát sỏi, sắt thép và vật liệu xây dựng khác trong các cửa hàng chuyên doanh"
47525,"Bán lẻ gạch ốp lát, thiết bị vệ sinh trong các cửa hàng chuyên doanh"
47529,Bán lẻ thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh
47530,"Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh"
47591,"Bán lẻ đồ điện gia dụng, đèn và bộ đèn điện trong các cửa hàng chuyên doanh"
47592,"Bán lẻ giường, tủ, bàn, ghế và đồ dùng nội thất tương tự trong các cửa hàng chuyên doanh"
47593,"Bán lẻ đồ dùng gia đình bằng gốm, sứ, thủy tinh trong các cửa hàng chuyên doanh"
47594,Bán lẻ nhạc cụ trong các cửa hàng chuyên doanh
47599,Bán lẻ đồ dùng gia đình khác còn lại chưa được phân vào đâu trong các cửa hàng chuyên doanh
47610,"Bán lẻ sách, báo, tạp chí, văn phòng phẩm trong các cửa hàng chuyên doanh"
47620,"Bán lẻ băng đĩa âm thanh, hình ảnh (kể cả băng, đĩa trắng) trong các cửa hàng chuyên doanh"
47630,"Bán lẻ thiết bị, dụng cụ thể dục, thể thao trong các cửa hàng chuyên doanh"
47640,"Bán lẻ trò chơi, đồ chơi trong các cửa hàng chuyên doanh"
47711,Bán lẻ hàng may mặc trong các cửa hàng chuyên doanh
47712,"Bán lẻ giày, dép trong các cửa hàng chuyên doanh"
47713,"Bán lẻ cặp, túi, ví, hàng da và giả da khác trong các cửa hàng chuyên doanh"
47721,"Bán lẻ dược phẩm, dụng cụ y tế trong các cửa hàng chuyên doanh"
47722,"Bán lẻ nước hoa, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh"
47723,"Bán thuốc đông y, bán thuốc nam trong các cửa hàng chuyên doanh"
47731,"Bán lẻ hoa, cây cảnh, cá cảnh, chim cảnh, vật nuôi cảnh trong các cửa hàng chuyên doanh"
47732,"Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức trong các cửa hàng chuyên doanh"
47733,"Bán lẻ hàng lưu niệm, hàng đan lát, hàng thủ công mỹ nghệ trong các cửa hàng chuyên doanh"
47734,"Bán lẻ tranh, ảnh và các tác phẩm nghệ thuật khác (trừ đồ cổ) trong các cửa hàng chuyên doanh"
47735,"Bán lẻ dầu hoả, gas, than nhiên liệu dùng cho gia đình trong các cửa hàng chuyên doanh"
47736,"Bán lẻ đồng hồ, kính mắt trong các cửa hàng chuyên doanh"
47737,"Bán lẻ máy ảnh, phim ảnh và vật liệu ảnh trong các cửa hàng chuyên doanh"
47738,Bán lẻ xe đạp và phụ tùng trong các cửa hàng chuyên doanh
47739,Bán lẻ hàng hóa khác mới chưa được phân vào đâu trong các cửa hàng chuyên doanh
47741,Bán lẻ hàng may mặc đã qua sử dụng trong các cửa hàng chuyên doanh
47749,Bán lẻ hàng hóa khác đã qua sử dụng trong các cửa hàng chuyên doanh
47811,Bán lẻ lương thực lưu động hoặc tại chợ
47812,"Bán lẻ thực phẩm khô, thực phẩm công nghiệp, đường sữa bánh kẹo lưu động hoặc tại chợ"
47813,Bán lẻ đồ uống lưu động hoặc tại chợ
47814,"Bán lẻ sản phẩm thuốc lá, thuốc lào lưu động hoặc tại chợ"
47815,"Bán lẻ thịt gia súc, gia cầm tươi sống, đông lạnh lưu động hoặc tại chợ"
47816,"Bán lẻ thủy sản tươi sống, đông lạnh lưu động hoặc tại chợ"
47817,Bán lẻ rau quả lưu động hoặc tại chợ
47818,Bán lẻ thực phẩm chín lưu động hoặc tại chợ
47819,Bán lẻ thực phẩm loại khác chưa được phân vào đâu
47821,Bán lẻ hàng dệt lưu động hoặc tại chợ
47822,Bán lẻ hàng may mặc lưu động hoặc tại chợ
47823,Bán lẻ giày dép lưu động hoặc tại chợ
47830,Bán lẻ thiết bị công nghệ thông tin liên lạc lưu động hoặc tại chợ
47841,"Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng lưu động hoặc tại chợ"
47842,"Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn lưu động hoặc tại chợ"
47843,"Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu lưu động hoặc tại chợ"
47850,"Bán lẻ hàng văn hóa, giải trí lưu động hoặc tại chợ"
47891,Bán lẻ mỹ phẩm và vật phẩm vệ sinh lưu động hoặc tại chợ
47892,"Bán lẻ hàng gốm sứ, thủy tinh lưu động hoặc tại chợ"
47893,"Bán lẻ hoa tươi, cây cảnh lưu động hoặc tại chợ"
47894,"Bán lẻ vàng, bạc, đá quí và đá bán quí, đồ trang sức lưu động hoặc tại chợ"
47895,"Bán lẻ hàng lưu niệm, hàng đan lát, hàng thủ công mỹ nghệ lưu động hoặc tại chợ"
47896,"Bán lẻ đồng hồ, kính mắt lưu động hoặc tại chợ"
47897,Bán lẻ xe đạp và phụ tùng lưu động hoặc tại chợ
47898,Bán lẻ hàng hóa đã qua sử dụng lưu động hoặc tại chợ
47899,"Bán lẻ hàng hóa khác chưa được phân vào đâu, lưu động hoặc tại chợ "
47910,Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet
47990,Bán lẻ hình thức khác chưa được phân vào đâu
49110,Vận tải hành khách đường sắt
49120,Vận tải hàng hóa đường sắt
49210,Vận tải hành khách bằng xe buýt trong nội thành
49220,Vận tải hành khách bằng xe buýt giữa nội thành và ngoại thành liên tỉnh
49290,Vận tải hành khách bằng xe buýt loại khác
49311,Vận tải hành khách bằng hệ thống đường sắt ngầm hoặc đường sắt trên cao
49312,Vận tải hành khách bằng taxi
49313,"Vận tải hành khách bằng mô tô, xe máy và xe có động cơ khác"
49319,"Vận tải hành khách đường bộ loại khác trong nội thành, ngoại thành (trừ xe buýt)"
49321,"Vận tải hành khách bằng xe khách nội tỉnh, liên tỉnh"
49329,Vận tải hành khách đường bộ khác chưa được phân vào đâu
49331,"Vận tải hàng hóa bằng ô tô chuyên dụng "
49332,Vận tải hàng hóa bằng ô tô loại khác (trừ ô tô chuyên dụng)
49333,Vận tải hàng hóa bằng xe có động cơ loại khác
49334,"Vận tải hàng hóa bằng xe thô sơ "
49339,Vận tải hàng hóa bằng phương tiện đường bộ khác
49400,Vận tải đường ống
